Ano,Função,Resultado Primário,Empenhado,Liquidado,Pago,,,
2001,18 - Gestão Ambiental,2 - Primária discricionária, considerada no cálculo do RP,1.385.675.084,1.385.675.084,777.698.442,,
2001,19 - Ciência e Tecnologia,0 - Financeira,65.061.872,65.061.872,24.521.947,,,
2001,19 - Ciência e Tecnologia,1 - Primária obrigatória, considerada no cálculo do RP,353.338.015,353.338.015,353.099.996,,
2001,19 - Ciência e Tecnologia,2 - Primária discricionária, considerada no cálculo do RP,1.173.400.248,1.173.400.248,1.047.948.525,,
2001,20 - Agricultura,0 - Financeira,3.459.526.655,3.459.496.495,2.641.461.074,,,
2001,20 - Agricultura,1 - Primária obrigatória, considerada no cálculo do RP,1.016.458.702,1.016.458.663,1.215.058.432,,
2001,20 - Agricultura,2 - Primária discricionária, considerada no cálculo do RP,1.005.702.281,1.005.610.687,756.370.000,,
2001,21 - Organização Agrária,0 - Financeira,518.664.387,518.664.387,431.713.469,,,
2001,21 - Organização Agrária,1 - Primária obrigatória, considerada no cálculo do RP,188.924.490,188.924.490,188.911.321,,
2001,21 - Organização Agrária,2 - Primária discricionária, considerada no cálculo do RP,622.343.413,622.343.413,416.805.361,,
2001,22 - Indústria,1 - Primária obrigatória, considerada no cálculo do RP,83.190.360,83.190.360,80.024.413,,
2001,22 - Indústria,2 - Primária discricionária, considerada no cálculo do RP,393.565.906,393.565.906,253.980.169,,
2001,23 - Comércio e Serviços,0 - Financeira,2.424.691.536,2.424.691.536,1.071.678.150,,,
2001,23 - Comércio e Serviços,1 - Primária obrigatória, considerada no cálculo do RP,33.649.088,33.649.088,1.028.428.893,,
2001,23 - Comércio e Serviços,2 - Primária discricionária, considerada no cálculo do RP,323.806.356,323.806.356,160.965.834,,
2001,24 - Comunicações,1 - Primária obrigatória, considerada no cálculo do RP,102.036.502,102.036.502,101.415.951,,
2001,24 - Comunicações,2 - Primária discricionária, considerada no cálculo do RP,354.106.914,354.106.914,294.023.774,,
2001,25 - Energia,0 - Financeira,371.315,371.315,253.632,,,
2001,25 - Energia,1 - Primária obrigatória, considerada no cálculo do RP,225.507.055,225.507.055,219.800.695,,
2001,25 - Energia,2 - Primária discricionária, considerada no cálculo do RP,500.502.221,500.502.221,391.228.709,,
2001,26 - Transporte,0 - Financeira,2.213.848.193,2.213.848.193,952.233.569,,,
2001,26 - Transporte,1 - Primária obrigatória, considerada no cálculo do RP,333.593.557,333.593.557,329.897.369,,
2001,26 - Transporte,2 - Primária discricionária, considerada no cálculo do RP,1.414.345.948,1.414.345.948,1.057.074.773,,
2001,27 - Desporto e Lazer,0 - Financeira,152.401.503,152.401.503,2.200.541,,,
2001,27 - Desporto e Lazer,1 - Primária obrigatória, considerada no cálculo do RP,3.986.083,3.986.083,3.986.083,,
2001,27 - Desporto e Lazer,2 - Primária discricionária, considerada no cálculo do RP,141.446.777,141.446.777,77.312.492,,
2001,28 - Encargos Especiais,0 - Financeira,357.399.139.022,357.399.139.022,353.507.747.771,,,
2001,28 - Encargos Especiais,1 - Primária obrigatória, considerada no cálculo do RP,31.737.683.259,31.737.683.259,28.253.752.775,,
2001,28 - Encargos Especiais,2 - Primária discricionária, considerada no cálculo do RP,5.423.045.118,5.423.045.118,4.471.989.104,,
2002,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,1.960.650.606,1.960.650.606,1.947.620.821,,
2002,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,513.703.835,513.703.835,421.249.271,,
2002,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,6.744.256.831,6.744.256.831,6.720.576.121,,
2002,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,1.442.678.241,1.442.678.241,1.092.645.992,,
2002,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,858.804.587,858.804.587,858.804.587,,
2002,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,184.896.583,184.896.583,153.257.806,,
2002,04 - Administração,0 - Financeira,918.203.806,918.203.806,554.772.165,,,
2002,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,4.913.560.856,4.913.560.856,4.320.828.475,,
2002,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,2.396.978.653,2.396.972.248,1.887.606.284,,
2002,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,8.296.353.822,8.296.353.822,8.294.138.665,,
2002,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,4.320.166.542,4.320.166.542,3.270.420.991,,
2002,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,840.056.170,840.056.170,728.707.837,,
2002,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,1.362.391.890,1.362.391.890,1.057.693.315,,
2002,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,539.301.109,539.301.109,536.318.445,,
2002,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,788.791.637,788.791.637,782.468.190,,
2002,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,5.251.087.068,5.251.087.068,5.145.233.030,,
2002,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,1.262.064.052,1.262.064.052,978.908.357,,
2002,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,121.563.344.091,121.563.344.091,121.103.121.306,,
2002,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,1.654.746.597,1.654.746.597,1.382.481.968,,
2002,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,20.118.384.472,20.118.384.472,19.602.036.076,,
2002,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,5.316.255.091,5.316.255.091,3.546.879.569,,
2002,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,7.628.671.482,7.628.671.482,7.532.835.260,,
2002,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,849.099.143,849.099.143,801.505.020,,
2002,12 - Educação,0 - Financeira,616.482.209,616.482.209,534.303.255,,,
2002,12 - Educação,1 - Primária obrigatória, considerada no cálculo do RP,8.867.471.620,8.867.471.620,8.839.338.525,,
2002,12 - Educação,2 - Primária discricionária, considerada no cálculo do RP,3.738.794.267,3.738.794.267,2.970.880.681,,
2002,13 - Cultura,1 - Primária obrigatória, considerada no cálculo do RP,90.377.962,90.377.962,90.066.841,,
2002,13 - Cultura,2 - Primária discricionária, considerada no cálculo do RP,149.149.266,149.149.266,119.708.068,,
2002,14 - Direitos da Cidadania,1 - Primária obrigatória, considerada no cálculo do RP,122.794.257,122.794.257,120.971.590,,
2002,14 - Direitos da Cidadania,2 - Primária discricionária, considerada no cálculo do RP,288.470.771,288.470.771,221.283.496,,
2002,15 - Urbanismo,2 - Primária discricionária, considerada no cálculo do RP,486.549.713,486.549.713,91.873.681,,
2002,16 - Habitação,2 - Primária discricionária, considerada no cálculo do RP,127.168.630,127.168.630,8.567.461,,
2002,17 - Saneamento,2 - Primária discricionária, considerada no cálculo do RP,97.142.780,97.142.780,6.206.067,,
2002,18 - Gestão Ambiental,1 - Primária obrigatória, considerada no cálculo do RP,265.251.864,265.251.864,263.732.767,,
2002,18 - Gestão Ambiental,2 - Primária discricionária, considerada no cálculo do RP,1.000.002.088,999.629.088,660.228.625,,
2002,19 - Ciência e Tecnologia,1 - Primária obrigatória, considerada no cálculo do RP,397.886.340,397.886.340,397.072.376,,
2002,19 - Ciência e Tecnologia,2 - Primária discricionária, considerada no cálculo do RP,1.108.823.974,1.108.823.974,985.668.339,,
2002,20 - Agricultura,0 - Financeira,2.667.568.054,2.667.568.054,2.530.937.057,,,
2002,20 - Agricultura,1 - Primária obrigatória, considerada no cálculo do RP,1.790.570.056,1.790.569.801,1.702.044.756,,
2002,20 - Agricultura,2 - Primária discricionária, considerada no cálculo do RP,1.043.603.675,1.042.268.006,661.348.733,,
2002,21 - Organização Agrária,0 - Financeira,530.191.001,530.191.001,462.533.896,,,
2002,21 - Organização Agrária,1 - Primária obrigatória, considerada no cálculo do RP,214.904.826,214.904.826,214.904.826,,
2002,21 - Organização Agrária,2 - Primária discricionária, considerada no cálculo do RP,635.511.480,635.511.480,531.413.631,,
2002,22 - Indústria,1 - Primária obrigatória, considerada no cálculo do RP,92.209.133,92.209.133,89.678.039,,
2002,22 - Indústria,2 - Primária discricionária, considerada no cálculo do RP,344.415.933,325.299.217,274.803.475,,
2002,23 - Comércio e Serviços,0 - Financeira,1.505.182.337,1.505.182.337,1.385.778.624,,,
2002,23 - Comércio e Serviços,1 - Primária obrigatória, considerada no cálculo do RP,51.713.889,51.713.889,50.393.215,,
2002,23 - Comércio e Serviços,2 - Primária discricionária, considerada no cálculo do RP,273.630.797,273.630.797,179.576.439,,
2002,24 - Comunicações,0 - Financeira,520.947,520.947,520.947,,,
2002,24 - Comunicações,1 - Primária obrigatória, considerada no cálculo do RP,145.984.787,145.984.787,143.842.789,,
2002,24 - Comunicações,2 - Primária discricionária, considerada no cálculo do RP,419.874.614,419.874.614,373.411.897,,
2002,25 - Energia,1 - Primária obrigatória, considerada no cálculo do RP,247.552.577,247.552.577,245.065.630,,
2002,25 - Energia,2 - Primária discricionária, considerada no cálculo do RP,7.571.671.152,7.571.671.152,6.372.540.517,,
2002,26 - Transporte,0 - Financeira,298.648.897,298.648.897,298.648.897,,,
2002,26 - Transporte,1 - Primária obrigatória, considerada no cálculo do RP,422.969.683,422.969.683,382.902.690,,
2002,26 - Transporte,2 - Primária discricionária, considerada no cálculo do RP,4.420.852.037,4.420.852.037,2.633.099.952,,
2002,27 - Desporto e Lazer,2 - Primária discricionária, considerada no cálculo do RP,264.676.714,264.676.714,81.013.662,,
2002,28 - Encargos Especiais,0 - Financeira,368.616.797.557,368.616.738.202,366.161.829.936,,,
2002,28 - Encargos Especiais,1 - Primária obrigatória, considerada no cálculo do RP,61.850.403.478,61.850.403.478,59.977.947.967,,
2002,28 - Encargos Especiais,2 - Primária discricionária, considerada no cálculo do RP,4.458.714.764,4.458.714.764,3.906.776.345,,
2003,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,2.414.221.355,2.414.221.355,2.401.355.381,,
2003,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,660.796.837,660.796.837,582.543.370,,
2003,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,7.054.231.877,7.054.231.877,6.861.645.042,,
2003,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,1.305.581.067,1.305.581.067,1.037.784.210,,
2003,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,1.137.913.068,1.137.913.068,1.137.913.068,,
2003,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,218.146.602,218.146.568,189.117.260,,
2003,04 - Administração,0 - Financeira,699.529.272,699.529.272,418.719.375,,,
2003,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,4.518.892.518,4.506.780.372,4.477.475.005,,
2003,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,2.172.066.188,2.156.197.459,1.913.930.646,,
2003,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,7.874.034.170,7.874.034.170,7.942.499.345,,
2003,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,3.696.103.142,3.696.103.142,2.793.624.227,,
2003,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,1.402.954.723,1.402.954.723,1.392.294.531,,
2003,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,1.002.251.352,1.002.168.403,699.606.416,,
2003,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,439.980.722,439.980.722,439.980.722,,
2003,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,724.119.246,724.093.677,695.131.106,,
2003,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,6.474.929.811,6.474.929.811,6.165.299.995,,
2003,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,1.941.423.290,1.941.423.290,1.613.075.012,,
2003,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,144.078.176.308,144.078.131.877,141.822.059.299,,
2003,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,1.399.423.959,1.399.417.007,958.580.764,,
2003,10 - Saúde,0 - Financeira,1.740.677,1.740.677,1.708.663,,,
2003,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,21.946.300.473,21.945.981.912,21.607.237.732,,
2003,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,5.225.528.785,5.224.125.459,3.553.882.568,,
2003,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,8.959.950.661,8.959.950.661,8.959.223.467,,
2003,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,535.767.545,534.884.632,521.610.784,,
2003,12 - Educação,0 - Financeira,692.713.546,692.713.546,564.957.388,,,
2003,12 - Educação,1 - Primária obrigatória, considerada no cálculo do RP,9.544.055.287,9.544.009.292,9.380.978.148,,
2003,12 - Educação,2 - Primária discricionária, considerada no cálculo do RP,3.989.356.313,3.987.546.736,2.873.509.254,,
2003,13 - Cultura,1 - Primária obrigatória, considerada no cálculo do RP,91.170.617,91.170.617,91.125.293,,
2003,13 - Cultura,2 - Primária discricionária, considerada no cálculo do RP,140.280.462,140.172.174,92.894.443,,
2003,14 - Direitos da Cidadania,1 - Primária obrigatória, considerada no cálculo do RP,125.034.206,125.034.206,124.034.134,,
2003,14 - Direitos da Cidadania,2 - Primária discricionária, considerada no cálculo do RP,269.411.138,269.410.776,211.242.783,,
2003,15 - Urbanismo,1 - Primária obrigatória, considerada no cálculo do RP,6.106.558,6.106.558,5.851.573,,
2003,15 - Urbanismo,2 - Primária discricionária, considerada no cálculo do RP,336.745.988,336.745.988,71.088.600,,
2003,16 - Habitação,2 - Primária discricionária, considerada no cálculo do RP,122.255.251,122.255.251,10.922.039,,
2003,17 - Saneamento,2 - Primária discricionária, considerada no cálculo do RP,58.683.470,58.683.470,5.744.872,,
2003,18 - Gestão Ambiental,1 - Primária obrigatória, considerada no cálculo do RP,323.795.190,323.795.190,321.491.270,,
2003,18 - Gestão Ambiental,2 - Primária discricionária, considerada no cálculo do RP,624.057.423,623.954.227,385.971.538,,
2003,19 - Ciência e Tecnologia,1 - Primária obrigatória, considerada no cálculo do RP,411.622.016,411.622.016,411.454.344,,
2003,19 - Ciência e Tecnologia,2 - Primária discricionária, considerada no cálculo do RP,1.581.685.044,1.581.574.391,1.243.233.872,,
2003,20 - Agricultura,0 - Financeira,3.189.761.885,3.189.761.885,3.105.160.280,,,
2003,20 - Agricultura,1 - Primária obrigatória, considerada no cálculo do RP,2.525.104.240,2.525.104.131,2.506.520.809,,
2003,20 - Agricultura,2 - Primária discricionária, considerada no cálculo do RP,790.846.488,790.844.565,538.972.761,,
2003,21 - Organização Agrária,0 - Financeira,524.738.276,524.738.276,218.577.120,,,
2003,21 - Organização Agrária,1 - Primária obrigatória, considerada no cálculo do RP,225.127.451,225.127.451,225.116.149,,
2003,21 - Organização Agrária,2 - Primária discricionária, considerada no cálculo do RP,679.651.534,679.651.534,515.298.626,,
2003,22 - Indústria,1 - Primária obrigatória, considerada no cálculo do RP,97.101.944,97.101.944,95.180.437,,
2003,22 - Indústria,2 - Primária discricionária, considerada no cálculo do RP,342.229.071,342.229.071,313.219.451,,
2003,23 - Comércio e Serviços,0 - Financeira,844.162.710,844.162.710,722.629.700,,,
2003,23 - Comércio e Serviços,1 - Primária obrigatória, considerada no cálculo do RP,1.026.791.136,1.026.791.136,969.524.112,,
2003,23 - Comércio e Serviços,2 - Primária discricionária, considerada no cálculo do RP,195.688.184,195.587.725,115.121.010,,
2003,24 - Comunicações,0 - Financeira,10.509.853,10.509.853,10.494.452,,,
