Ano,Função,Resultado Primário,Subfunção,Empenhado,Liquidado,Pago
Total,,,,48.398.382.871.544,46.347.292.672.715,45.611.023.315.136
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,5.638.800,5.638.800,5.015.825
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,2.034.412,2.034.412,2.034.412
2000,04 - Administração,0 - Financeira,123 - Administração Financeira,179.646.000,179.646.000,0
2000,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,3.269.292.207,3.269.292.207,2.896.683.774
2000,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,273 - Previdência Complementar,200.663.429,200.663.429,41.504.388
2000,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,79.305.835,79.305.835,72.254.989
2000,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,18.258.733,18.258.733,18.014.439
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,121 - Planejamento e Orçamento,69.879.598,69.879.580,42.596.282
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,911.510.729,911.510.729,757.492.911
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,645.570.005,645.570.005,150.931.124
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,223.396.880,223.396.880,215.159.902
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,603.028.999,602.990.894,507.964.839
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,35.605.972,35.605.703,23.587.012
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,129 - Administração de Receitas,180.751.502,180.751.502,177.282.110
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,10.141.848,10.141.848,4.138.368
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,1.985.351,1.985.351,1.262.760
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,244 - Assistência Comunitária,1.963.158,1.963.158,859.465
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,271 - Previdência Básica,5.499.977,5.499.977,5.299.977
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,63.032.538,63.032.538,53.276.553
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,441.327,441.327,0
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,12.531.447,12.531.447,11.710.097
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,422 - Direitos Individuais, Coletivos e Difusos,100.000,100.000,100.000
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,1.360.883,1.360.883,710.152
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,12.460,12.460,12.460
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,694 - Serviços Financeiros,67.367.220,67.367.220,0
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,845 - Outras Transferências,6.000.000,6.000.000,6.000.000
2000,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,6.357.486.252,6.357.486.252,6.354.239.011
2000,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,212 - Cooperação Internacional,490.932,490.932,490.932
2000,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,17.874.922,17.874.922,17.517.428
2000,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,104.386.556,104.386.556,104.200.084
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,121 - Planejamento e Orçamento,112.107,112.107,2.020
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,579.896.540,579.896.540,492.695.837
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,1.655.950,1.655.950,1.597.831
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,714.551.632,714.551.632,691.517.819
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,53.740.465,53.740.465,48.742.911
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,732.660,732.660,706.898
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,151 - Defesa Aérea,788.529.952,788.529.952,324.310.184
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,152 - Defesa Naval,525.761.727,525.761.727,355.235.654
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,153 - Defesa Terrestre,363.032.689,363.032.689,289.027.598
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,183 - Informação e Inteligência,11.145.981,11.145.981,9.727.729
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,25.405.309,25.405.309,23.780.631
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,244 - Assistência Comunitária,891.548,891.548,739.581
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,4.835.796,4.835.796,4.835.796
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,266.347.688,266.347.688,252.116.792
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,1.810.607,1.810.607,1.295.131
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,306 - Alimentação e Nutrição,239.649.519,239.649.519,231.060.011
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,361 - Ensino Fundamental,1.631.301,1.631.301,1.473.652
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,362 - Ensino Médio,1.050.841,1.050.841,964.323
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,3.877.161,3.877.161,3.662.892
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,81.004.489,81.004.489,80.545.424
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,63.000,63.000,53.245
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,391 - Patrimônio Histórico, Artístico e Arqueológico,1.615.805,1.615.805,1.305.003
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,423 - Assistência aos Povos Indígenas,47.360,47.360,47.360
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,451 - Infra-Estrutura Urbana,31.635.836,31.635.836,22.199.263
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,545 - Meteorologia,140.898,140.898,126.952
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,22.079.657,22.079.657,18.869.552
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,572 - Desenvolvimento Tecnológico e Engenharia,154.403.800,154.403.800,109.216.295
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,661 - Promoção Industrial,40.010,40.010,31.597
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,662 - Produção Industrial,2.968.200,2.968.200,2.641.845
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,722 - Telecomunicações,6.519.167,6.519.167,2.872.361
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,752 - Energia Elétrica,118.400,118.400,101.060
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,781 - Transporte Aéreo,261.862.433,261.862.433,94.585.503
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,782 - Transporte Rodoviário,547.007,547.007,451.697
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,784 - Transporte Hidroviário,6.187.870,6.187.870,5.527.592
2000,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,1.055.433.223,1.055.433.223,1.050.646.749
2000,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,15.825.305,15.825.305,15.825.116
2000,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,6.011.601,6.011.601,6.009.986
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,092 - Representação Judicial e Extrajudicial,49.952,49.952,49.952
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,84.005.922,84.005.922,62.611.689
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,960.728,960.728,954.085
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,1.947.506,1.947.506,1.487.397
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,7.319.629,7.319.629,6.357.934
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,5.463.221,5.463.221,4.591.803
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,181 - Policiamento,544.297.475,544.297.475,441.571.684
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,182 - Defesa Civil,446.524.861,446.524.861,372.528.019
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,183 - Informação e Inteligência,1.399.378,1.399.378,1.189.487
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,142.332,142.332,12.672
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,243 - Assistência à Criança e ao Adolescente,989.664,989.664,915.453
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,12.211.028,12.211.028,12.054.840
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,393.325,393.325,393.325
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,5.028.962,5.028.962,5.011.392
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,506.000,506.000,0
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,722 - Telecomunicações,83.291,83.291,45.075
2000,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,294.653.422,294.653.422,294.649.805
2000,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,1.923.773,1.923.773,1.923.575
2000,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,695.439,695.439,695.285
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,179.411.596,179.411.596,177.396.046
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,3.259.860,3.259.860,3.175.570
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,905.153,905.153,845.393
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,211 - Relações Diplomáticas,148.223.882,148.223.882,142.115.021
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,105.483.620,105.483.620,105.478.025
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,993.938,993.938,971.950
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,286.234,286.234,286.234
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,392 - Difusão Cultural,8.246.114,8.246.114,8.208.704
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,879.717,879.717,873.613
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,691 - Promoção Comercial,3.401.898,3.401.898,3.389.196
2000,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,241 - Assistência ao Idoso,1.206.272.997,1.206.272.997,1.205.004.808
2000,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,242 - Assistência ao Portador de Deficiência,2.285.718.348,2.285.718.348,2.285.022.175
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,5.390.969,5.390.969,5.214.167
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,9.860.035,9.860.035,0
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,3.981.407,3.981.407,3.291.103
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,490.662,490.662,490.662
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,713.775,713.775,708.430
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,241 - Assistência ao Idoso,42.344.147,42.344.147,34.452.105
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,242 - Assistência ao Portador de Deficiência,70.819.731,70.819.731,64.774.958
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,243 - Assistência à Criança e ao Adolescente,639.384.283,639.384.283,571.885.884
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,244 - Assistência Comunitária,94.442.638,94.442.638,44.012.144
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,306 - Alimentação e Nutrição,82.248.231,82.180.582,73.677.388
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,1.367.403.971,1.367.403.971,1.345.898.894
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,271 - Previdência Básica,64.608.903.968,64.608.903.968,64.533.119.935
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,272 - Previdência do Regime Estatutário,25.090.615.297,25.090.615.297,24.708.343.437
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,274 - Previdência Especial,773.144.512,773.144.512,769.394.212
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,34.771.176,34.771.176,34.769.026
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,13.623.822,13.623.822,13.622.064
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,750.712.320,750.712.320,291.995.464
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,30.623.967,30.623.967,24.304.349
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,384.307.101,384.307.101,377.322.123
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,16.716.812,16.716.812,14.891.384
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,129 - Administração de Receitas,6.798.739,6.798.739,6.066.116
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,5.649.355,5.649.355,5.534.963
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,197.823,197.823,186.691
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,271 - Previdência Básica,234.630.325,234.630.325,207.805.852
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,272 - Previdência do Regime Estatutário,603.086,603.086,603.086
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,273 - Previdência Complementar,789.366,789.366,735.305
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,69.173.578,69.173.578,67.094.155
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,7.211.194,7.211.194,7.211.194
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,665 - Normalização e Qualidade,11.692.708,11.692.708,11.489.896
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,2.276.573.988,2.276.573.988,2.269.393.941
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,273 - Previdência Complementar,4.215.629,4.215.629,3.941.258
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,301 - Atenção Básica,2.382.118.751,2.382.118.751,2.318.474.738
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,10.386.347.754,10.386.347.754,10.353.425.719
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,720.604.984,720.604.984,629.036.950
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,304 - Vigilância Sanitária,38.832.082,38.832.082,38.434.282
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,305 - Vigilância Epidemiológica,338.143.730,338.143.730,295.212.571
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,233.606.080,233.606.080,233.277.754
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,36.592.277,36.592.277,36.455.723
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,571 - Desenvolvimento Científico,18.875.138,18.875.138,18.875.138
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,181.849.881,181.849.881,162.656.486
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,12.174.150,12.174.150,11.228.200
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,73.189.796,73.189.796,43.053.108
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,40.519.559,40.519.559,24.438.142
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,14.350.000,14.350.000,14.350.000
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,27.126.051,27.126.051,27.126.051
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,243 - Assistência à Criança e ao Adolescente,684.362,684.362,0
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,244 - Assistência Comunitária,11.746.556,11.746.556,4.964.562
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,302.109.804,302.109.804,249.422.198
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,1.646.775.852,1.646.775.852,830.432.101
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,640.873.519,640.873.519,515.764.089
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,304 - Vigilância Sanitária,116.314.658,116.314.658,88.957.606
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,305 - Vigilância Epidemiológica,279.521.095,279.521.095,161.019.218
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,306 - Alimentação e Nutrição,1.258.234,1.258.234,978.976
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,53.382.549,53.382.549,3.351.575
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,17.822.547,17.822.547,17.199.986
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,19.810.135,19.810.135,19.666.092
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,511 - Saneamento Básico Rural,275.924.574,275.924.574,25.411.179
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,80.414.292,80.414.292,56.177.999
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,572 - Desenvolvimento Tecnológico e Engenharia,3.050.850,3.050.850,1.989.798
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,17.224.552,17.224.552,12.597.963
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,665 - Normalização e Qualidade,18.087.632,18.087.632,13.331.881
2000,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,477.931.089,477.931.089,477.931.089
2000,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,7.455.688,7.455.688,7.455.688
2000,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,4.776.622.624,4.776.622.624,4.699.794.071
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,170.361.027,170.361.027,157.799.328
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,125 - Normatização e Fiscalização,8.515.711,8.515.711,8.483.261
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,93.305.652,93.305.652,88.756.614
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,3.758.300,3.758.300,3.279.724
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,21.183.652,21.183.652,17.030.446
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,56.466,56.466,56.466
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,10.420.985,10.420.985,10.410.821
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,61.456.188,61.456.188,57.178.570
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,332 - Relações de Trabalho,71.374.657,71.374.657,70.351.168
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,333 - Empregabilidade,467.010.292,467.010.292,466.496.252
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,334 - Fomento ao Trabalho,1.353.364,1.353.364,1.353.364
